Huge Sverting of the Obelisk,1,6,2,5,0,0,45,Top 1% of decks on SAS. Doesn't take much looking to see why.
Mr. F. Betaphant,1,3,4,2,0,0,45,Top 1.5% of decks on SAS LA + PS + CtW + Mother + Sac altar.
Bright Xhosa of the Colony,1,6,4,1,0,5,80,Good cards on crack. Maverick Feeding Pit. Oath of Poverty.
Miniature Soren of the Bazaar,1,3,4,7,0,0,45,"Top 1% of decks on SAS. Triple Battle Fleet + Library Access. Inconsistent, but Broken."
Identically Massive Noricus,1,6,1,5,0,0,30,BIG Creatures. Solid Triples. Great Removal. Dope Name
"Xander, Fortress Commander",1,3,7,5,1,0,30,Maverick Doorstep to Heaven. Nepenthe Seed. Some steal
U. C. Falsedirk of the Scalene Tavern,1,3,4,7,1,0,35,Maverick Vigor. Library Access - Phase Shift
"Bopanda Kauldron-Haddeburg, Tanner",1,6,7,5,1,0,25,Triple Smaaash. Triple Grabber + pack. Good untamed.
"D. Tweddle, Breakfont's Hyperbolic Courier",1,1,4,7,1,0,85,Horsemen + Maverick Magda. Library Access + mother
Provost Owloid Aembermaker,1,6,3,4,0,0,15,Maverick Lash.
Baba Maywing Grigorov,1,6,1,5,0,0,15,Thicc boiz + Quad snufflegator. What else could you possibly want from me?
"Buffaga, it that Winks at the Shop",1,6,2,5,0,3,55,Classic Bait and Forge.
It That Mysteriously Oils Telepathy,1,7,1,5,0,0,25,Hunting witch. Double Mimicry. Spider. Doorstep.
The Carpenter that Wastes Construction,1,6,2,5,0,3,55,Double hunting witch. Bait and Forge.
"Ariunzul, Deadlands Natural Philosopher",1,3,1,5,0,0,35,Maverick Ghostly Hand. Untamed ramp deck.
Sweatpick of the Centurion's Guildhall,1,6,1,5,0,0,65,Horseman Deck.
She who Fights for Hegemony,1,4,7,5,0,0,25,Triple Dust Pixie + Witch. Library Access + Phase Shift
The Craven Sargent,1,7,1,2,0,0,40,Faygin. Double TMtP. Double Gatekeeper. Spider. Bait and Switch.
J. U. Zembaple of the Active Guildhall,1,6,4,2,0,0,35,Library Access TRIPLE Phase shift. Graft. Bait and  switch.
"J. Katz, the Stadium Ruffian",1,3,7,5,0,0,25,Control the Weak. Double Dust Imp. Double Shooler.
The Dire Farmer Trapper of Oakbury,1,4,1,2,1,0,20,Routine Job. Too much to Protect. Epic Quest.
The Huge Survivalist Scammer of Antiland,1,6,3,1,1,0,20,Double Doorstep. Double Shooler. Bumpsy.
"T. Simplicius, Tidebreaker of the Only Wild",1,7,1,5,1,0,20,Hunting Witch. Quad Niffle Ape. TROOP CALL.
"Abiah, Sizzling Port Trooper",1,4,1,5,1,0,30,Library Access. Double Niffle Ape. Hunting Witch. Flaxia. Regrowth.
Yosef Javadroid from the Judge's Slum,1,3,4,1,0,0,25,Library Access + Phase Shift. Double Mother.
The Scalene Scholar Darklord of Sparkland,1,3,2,5,0,0,40,Sting. Double Dust Imp. Double Dust Pixie. Hunting Witch. TMtP
"Stylobel, Spawn of Palaia",1,3,4,1,0,0,80,Horseman Deck. Library Access. Double Mother.
The Judge That Demolishes Ideas,1,3,7,1,0,3,100,Horseman deck. Glorious Few + Cleansing Wave. Spider + Backup. CtW. 3-0 record
"Jennilyn ""Isosceles"" Protoray",1,4,7,2,0,0,80,Double Maverick. Timetraveller. Sting. TMtP. Double Hive + Pheremones.
"Baron Xixoion, the Haphazard Rioter",1,6,3,1,0,0,10,Good Brobnar. Double Succubus. Virtuous works.
The Thing Who Annoys Nemesis,1,3,1,5,0,0,10,Double Doorstep. Double Shooler. CtW. Mimicry. Ritual of Balance.
"Celloduke Roberts-Azerius, Bureaucrat",1,3,4,1,0,0,50,Library Access + Timetraveller.
Xanatos the Well-Born,1,3,4,5,1,0,25,Library Access + Phase Shift. Double Ember Imp. Double Shooler.
"Aiyana, Gibbering Tower Warlock",1,3,1,5,0,0,15,Double Control the Weak. Double Succubus. Round Table + Double Monk. Doorstep.
"Ableson, the Spy of Featherspur",1,6,4,5,0,0,15,Library Access. Wardrummer + Double Bumpsy. Ritual of Balance.
"Neverhands, the Critic Sophomore",1,4,7,1,0,0,10,Double Grabber. Spider. Graft.
I. B. Smokemon of the Nightmarish Theater,1,6,7,5,0,0,10,Battle Fleet. Double Murmook. Regrowth. Nature's Call + Full Moon + Key Charge
